epoch	acc1_train	acc1_valid	best_acc1
1	39.804	41.39	0.0
2	61.578	63.86	0.0
3	69.17	63.75	0.0
4	73.538	52.62	0.0
5	75.93	64.9	0.0
6	77.014	71.26	0.0
7	78.064	75.28	0.0
8	79.046	68.24	0.0
9	79.888	76.42	0.0
10	80.482	74.56	0.0
11	80.96	69.51	0.0
12	81.264	67.27	0.0
13	81.626	72.4	0.0
14	81.952	78.14	0.0
15	82.096	76.22	0.0
16	82.378	68.72	0.0
17	82.556	73.42	0.0
18	82.794	77.09	0.0
19	83.022	75.68	0.0
20	83.134	79.86	0.0
21	83.312	75.74	0.0
22	83.518	79.85	0.0
23	83.678	77.51	0.0
24	83.704	74.34	0.0
25	83.846	76.11	0.0
26	84.05	76.44	0.0
27	84.088	74.42	0.0
28	84.168	80.74	0.0
29	84.316	72.94	0.0
30	84.342	78.1	0.0
31	84.454	80.06	0.0
32	84.43	80.08	0.0
33	84.412	76.96	0.0
34	84.774	77.9	0.0
35	84.72	76.23	0.0
36	84.546	76.28	0.0
37	84.718	79.33	0.0
38	84.552	75.82	0.0
39	84.816	79.88	0.0
40	84.606	74.48	0.0
41	84.926	82.53	0.0
42	85.106	78.19	0.0
43	84.898	80.69	0.0
44	85.126	81.72	0.0
45	85.108	81.12	0.0
46	85.172	78.12	0.0
47	84.782	73.67	0.0
48	85.094	79.26	0.0
49	85.174	76.12	0.0
50	85.13	81.13	0.0
51	85.242	78.59	0.0
52	85.114	71.67	0.0
53	85.09	78.8	0.0
54	84.916	79.77	0.0
55	85.52	80.6	0.0
56	85.178	78.91	0.0
57	85.278	80.71	0.0
58	85.396	80.28	0.0
59	85.368	75.76	0.0
60	85.332	81.01	0.0
61	85.078	78.97	0.0
62	85.284	79.7	0.0
63	85.464	76.68	0.0
64	85.302	73.98	0.0
65	85.324	81.11	0.0
66	85.602	75.3	0.0
67	84.99	80.62	0.0
68	85.218	81.39	0.0
69	85.478	81.74	0.0
70	85.434	76.95	0.0
71	85.328	76.42	0.0
72	85.3	80.71	0.0
73	85.348	78.15	0.0
74	85.204	79.65	0.0
75	85.348	82.31	0.0
76	85.286	74.9	74.9
77	85.494	79.97	79.97
78	85.38	82.33	82.33
79	85.27	76.05	82.33
80	85.194	76.22	82.33
81	85.386	76.89	82.33
82	85.336	80.5	82.33
83	85.53	78.68	82.33
84	85.394	76.32	82.33
85	85.506	76.52	82.33
86	85.552	78.78	82.33
87	85.472	80.43	82.33
88	85.508	76.75	82.33
89	85.53	78.94	82.33
90	85.306	76.05	82.33
91	85.37	78.19	82.33
92	85.502	74.49	82.33
93	85.434	81.45	82.33
94	85.362	72.53	82.33
95	85.316	73.29	82.33
96	85.332	77.86	82.33
97	85.152	76.43	82.33
98	85.152	82.27	82.33
99	85.194	77.96	82.33
100	85.372	79.51	82.33
101	89.832	88.87	88.87
102	91.404	89.24	89.24
103	91.79	89.43	89.43
104	92.206	89.29	89.43
105	92.158	89.74	89.74
106	92.472	89.77	89.77
107	92.75	89.55	89.77
108	92.638	89.74	89.77
109	92.924	89.92	89.92
110	92.926	89.54	89.92
111	93.292	89.69	89.92
112	93.158	89.74	89.92
113	93.352	89.82	89.92
114	93.41	89.34	89.92
115	93.23	89.05	89.92
116	93.556	89.94	89.94
117	93.344	89.69	89.94
118	93.438	89.42	89.94
119	93.428	89.68	89.94
120	93.468	89.45	89.94
121	93.458	89.27	89.94
122	93.5	89.16	89.94
123	93.506	89.29	89.94
124	93.342	89.31	89.94
125	93.446	89.29	89.94
126	93.658	89.85	89.94
127	93.49	88.75	89.94
128	93.376	89.07	89.94
129	93.462	89.36	89.94
130	93.254	88.55	89.94
131	93.394	89.36	89.94
132	93.5	88.35	89.94
133	93.36	88.58	89.94
134	93.158	87.88	89.94
135	93.108	88.16	89.94
136	93.38	89.69	89.94
137	93.214	87.35	89.94
138	93.24	88.85	89.94
139	93.338	87.64	89.94
140	93.12	88.09	89.94
141	93.316	88.37	89.94
142	93.368	88.55	89.94
143	93.178	89.49	89.94
144	93.41	86.42	89.94
145	93.19	88.39	89.94
146	93.304	88.83	89.94
147	93.198	89.37	89.94
148	93.094	89.03	89.94
149	93.24	88.53	89.94
150	93.466	88.41	89.94
151	95.002	91.03	91.03
152	95.568	90.95	91.03
153	95.7	91.15	91.15
154	95.876	91.38	91.38
155	96.042	91.29	91.38
156	96.25	91.29	91.38
157	96.22	91.34	91.38
158	96.256	91.22	91.38
159	96.352	91.39	91.39
160	96.242	91.29	91.39
161	96.384	91.19	91.39
162	96.426	91.25	91.39
163	96.518	91.14	91.39
164	96.468	91.07	91.39
165	96.434	91.05	91.39
166	96.6	91.27	91.39
167	96.678	91.28	91.39
168	96.644	91.24	91.39
169	96.602	91.14	91.39
170	96.628	91.12	91.39
171	96.78	91.18	91.39
172	96.736	90.99	91.39
173	96.884	91.18	91.39
174	96.638	91.16	91.39
175	96.83	91.18	91.39
176	96.924	91.23	91.39
177	96.912	91.17	91.39
178	96.828	91.09	91.39
179	96.89	91.27	91.39
180	96.956	91.11	91.39
181	96.864	91.22	91.39
182	96.914	91.21	91.39
183	97.07	91.23	91.39
184	96.988	91.03	91.39
185	97.094	91.12	91.39
186	97.032	91.1	91.39
187	97.024	91.2	91.39
