epoch,timestamp,acc1,acc5,loss,learning_rate
0,1756318177.3596382,38.1619987487793,87.9280014038086,1.6456864775848388,0.1
1,1756318185.7791843,58.20399856567383,95.30199432373047,1.1579539861297607,0.1
2,1756318194.1941776,65.4679946899414,96.75399780273438,0.9744636308479309,0.1
3,1756318202.4273238,69.70600128173828,97.7179946899414,0.8574243518066407,0.1
4,1756318210.7431142,72.77799987792969,97.95399475097656,0.7836924970626831,0.1
5,1756318219.0488348,73.97200012207031,98.1719970703125,0.7510581764793396,0.1
6,1756318227.4829648,75.18799591064453,98.36000061035156,0.7199264878463745,0.1
7,1756318235.759748,75.81600189208984,98.41600036621094,0.698831988773346,0.1
8,1756318244.000073,76.51799774169922,98.47799682617188,0.6805282960510254,0.1
9,1756318256.2986095,76.87200164794922,98.4959945678711,0.6707568886566162,0.1
10,1756318264.6207228,77.59400177001953,98.66999816894531,0.6507100681686402,0.1
11,1756318273.0915143,77.48600006103516,98.56999969482422,0.6489052385139465,0.1
12,1756318281.5257473,77.80599975585938,98.70999908447266,0.6425433913993835,0.1
13,1756318289.9268184,78.09400177001953,98.67599487304688,0.6357854619216919,0.1
14,1756318298.1343265,78.2979965209961,98.73600006103516,0.6283273634338379,0.1
15,1756318306.4577117,78.62799835205078,98.72999572753906,0.6206450634670257,0.1
16,1756318314.8624573,78.78399658203125,98.81999969482422,0.6122785373878479,0.1
17,1756318323.3536348,78.9959945678711,98.78599548339844,0.6107910531425476,0.1
18,1756318331.6204667,79.12200164794922,98.76200103759766,0.6056645453834534,0.1
19,1756318340.1642373,79.29999542236328,98.86000061035156,0.5982101062011719,0.1
20,1756318348.6571262,79.52399444580078,98.8699951171875,0.5992815074920654,0.1
21,1756318357.0899677,79.38800048828125,98.81800079345703,0.5989484568595886,0.1
22,1756318365.4136207,80.00999450683594,98.8239974975586,0.5842391206741333,0.1
23,1756318373.8886027,79.35199737548828,98.8479995727539,0.5947453922080994,0.1
24,1756318382.2162437,79.8239974975586,98.8740005493164,0.5893653293991089,0.1
25,1756318390.4635441,79.7459945678711,98.88800048828125,0.5845275302886963,0.1
26,1756318398.7941074,79.99199676513672,98.90399932861328,0.5797688933944702,0.1
