epoch	acc1_train	acc1_valid	best_acc1
1	41.126	51.61	0.0
2	61.28	57.66	0.0
3	68.742	61.42	0.0
4	73.936	68.2	0.0
5	75.932	68.08	0.0
6	77.078	74.97	0.0
7	78.396	75.48	0.0
8	79.038	75.46	0.0
9	79.716	72.84	0.0
10	80.35	74.29	0.0
11	80.938	75.85	0.0
12	81.132	73.28	0.0
13	81.322	73.87	0.0
14	81.746	78.2	0.0
15	81.92	72.1	0.0
16	82.22	74.25	0.0
17	82.574	70.64	0.0
18	82.356	77.41	0.0
19	82.756	68.74	0.0
20	83.32	76.87	0.0
21	82.996	76.5	0.0
22	83.24	80.83	0.0
23	83.654	75.45	0.0
24	83.6	77.47	0.0
25	83.456	78.12	0.0
26	83.662	77.77	0.0
27	83.934	78.52	0.0
28	84.058	77.33	0.0
29	83.996	81.23	0.0
30	84.06	80.62	0.0
31	84.164	81.82	0.0
32	84.258	81.33	0.0
33	84.326	77.9	0.0
34	84.616	73.47	0.0
35	84.49	77.15	0.0
36	84.556	78.7	0.0
37	84.602	78.3	0.0
38	84.7	79.38	0.0
39	84.846	79.19	0.0
40	84.858	75.15	0.0
41	84.692	80.73	0.0
42	84.932	80.15	0.0
43	84.788	76.03	0.0
44	84.808	80.51	0.0
45	85.03	69.51	0.0
46	84.97	80.85	0.0
47	84.9	74.49	0.0
48	84.838	76.94	0.0
49	84.762	79.38	0.0
50	85.136	79.43	0.0
51	85.114	79.95	0.0
52	85.262	63.13	0.0
53	85.006	81.67	0.0
54	84.804	72.28	0.0
55	85.362	76.49	0.0
56	85.002	72.82	0.0
57	85.202	80.81	0.0
58	85.206	81.16	0.0
59	85.152	76.65	0.0
60	85.098	80.54	0.0
61	84.806	79.92	0.0
62	85.142	82.41	0.0
63	85.354	78.16	0.0
64	85.428	75.07	0.0
65	85.082	83.1	0.0
66	85.248	77.03	0.0
67	85.096	78.06	0.0
68	85.44	78.18	0.0
69	85.366	74.48	0.0
70	85.26	79.13	0.0
71	85.304	77.34	0.0
72	85.068	82.83	0.0
73	85.462	77.31	0.0
74	85.312	77.37	0.0
75	85.254	82.84	0.0
76	85.516	79.04	79.04
77	85.398	74.3	79.04
78	85.264	76.26	79.04
79	85.27	79.82	79.82
80	85.07	81.19	81.19
81	85.302	77.49	81.19
82	85.174	80.53	81.19
83	85.428	78.09	81.19
84	85.204	78.96	81.19
85	85.192	77.08	81.19
86	85.452	69.92	81.19
87	85.442	81.29	81.29
88	85.32	78.47	81.29
89	85.23	81.81	81.81
90	85.406	74.97	81.81
91	85.192	75.67	81.81
92	85.128	80.91	81.81
93	85.414	77.12	81.81
94	85.474	79.03	81.81
95	85.084	75.91	81.81
96	85.37	79.45	81.81
97	85.296	82.24	82.24
98	85.208	81.72	82.24
99	85.664	78.5	82.24
100	85.212	77.24	82.24
