epoch	acc1_train	acc1_valid	best_acc1
1	40.482	49.0	0.0
2	60.574	62.4	0.0
3	68.428	64.43	0.0
4	73.412	68.48	0.0
5	75.69	72.46	0.0
6	76.994	56.37	0.0
7	78.142	76.88	0.0
8	78.922	70.56	0.0
9	79.63	72.35	0.0
10	80.138	73.6	0.0
11	80.968	74.54	0.0
12	80.882	72.69	0.0
13	81.614	78.27	0.0
14	81.744	76.58	0.0
15	81.958	73.63	0.0
16	82.104	73.99	0.0
17	82.234	78.63	0.0
18	82.714	78.2	0.0
19	82.774	71.46	0.0
20	82.972	73.21	0.0
21	83.186	82.31	0.0
22	83.278	81.17	0.0
23	83.432	74.0	0.0
24	83.424	73.59	0.0
25	83.702	73.6	0.0
26	83.734	78.11	0.0
27	83.984	73.83	0.0
28	84.096	79.84	0.0
29	84.06	80.56	0.0
30	84.376	80.22	0.0
31	84.144	79.68	0.0
32	84.44	77.23	0.0
33	84.198	79.63	0.0
34	84.458	79.32	0.0
35	84.692	80.35	0.0
36	84.976	80.6	0.0
37	85.028	73.66	0.0
38	84.764	79.75	0.0
39	84.928	79.74	0.0
40	84.842	81.14	0.0
41	84.79	76.63	0.0
42	84.894	77.42	0.0
43	84.934	79.15	0.0
44	84.986	79.17	0.0
45	85.062	80.82	0.0
46	85.262	79.56	0.0
47	85.136	78.91	0.0
48	85.162	76.83	0.0
49	85.044	77.88	0.0
50	85.192	79.66	0.0
51	85.21	78.16	0.0
52	85.252	75.95	0.0
53	85.066	73.2	0.0
54	85.072	78.98	0.0
55	85.364	78.24	0.0
56	85.182	71.13	0.0
57	85.302	79.74	0.0
58	85.476	80.98	0.0
59	85.058	74.53	0.0
60	85.23	79.21	0.0
61	85.368	81.41	0.0
62	85.254	78.0	0.0
63	85.512	80.34	0.0
64	85.526	78.18	0.0
65	85.394	78.83	0.0
66	85.296	78.57	0.0
67	85.32	78.55	0.0
68	85.298	81.13	0.0
69	85.39	76.52	0.0
70	85.414	71.68	0.0
71	85.318	75.79	0.0
72	85.108	81.36	0.0
73	85.306	74.88	0.0
74	85.716	75.1	0.0
75	85.186	77.02	0.0
76	85.576	79.97	79.97
77	85.346	79.8	79.97
78	85.482	81.06	81.06
79	85.302	82.47	82.47
80	85.268	78.34	82.47
81	85.364	81.9	82.47
82	85.37	78.27	82.47
83	85.554	80.39	82.47
84	85.532	77.36	82.47
85	85.508	79.59	82.47
86	85.484	78.66	82.47
87	85.398	78.57	82.47
88	85.304	80.02	82.47
89	85.44	75.97	82.47
90	85.432	71.27	82.47
91	85.508	78.83	82.47
92	85.05	74.72	82.47
93	85.406	77.58	82.47
94	85.39	81.53	82.47
95	85.13	78.12	82.47
96	85.41	71.55	82.47
97	85.184	81.01	82.47
98	85.39	80.72	82.47
99	85.306	82.81	82.81
100	85.208	80.71	82.81
101	89.836	89.34	89.34
102	91.116	89.6	89.6
103	91.742	89.2	89.6
104	92.004	90.0	90.0
105	92.234	89.86	90.0
106	92.412	89.87	90.0
107	92.578	89.81	90.0
108	92.768	90.13	90.13
109	92.888	90.13	90.13
110	93.094	90.23	90.23
111	93.016	89.72	90.23
112	93.296	89.81	90.23
113	93.166	89.34	90.23
114	93.284	89.9	90.23
115	93.3	89.49	90.23
116	93.488	89.5	90.23
117	93.38	89.82	90.23
118	93.536	89.13	90.23
119	93.462	89.08	90.23
120	93.528	89.34	90.23
121	93.558	89.41	90.23
122	93.422	88.62	90.23
123	93.56	89.53	90.23
124	93.374	89.28	90.23
125	93.414	89.71	90.23
126	93.524	89.15	90.23
127	93.498	89.46	90.23
128	93.436	88.42	90.23
129	93.488	89.46	90.23
130	93.356	88.24	90.23
131	93.47	88.9	90.23
132	93.422	89.07	90.23
133	93.366	88.72	90.23
134	93.236	87.97	90.23
135	93.326	88.14	90.23
136	93.396	89.1	90.23
137	93.258	88.44	90.23
138	93.146	88.71	90.23
139	93.248	87.64	90.23
140	93.154	89.3	90.23
141	93.268	88.58	90.23
142	93.328	88.73	90.23
143	93.336	88.48	90.23
144	93.214	89.14	90.23
145	93.292	89.05	90.23
146	93.208	88.59	90.23
147	93.37	89.07	90.23
148	93.282	89.14	90.23
149	93.382	88.61	90.23
150	93.166	87.72	90.23
151	94.886	91.17	91.17
152	95.63	91.39	91.39
153	95.754	91.33	91.39
154	95.946	91.28	91.39
155	96.154	91.36	91.39
156	96.224	91.37	91.39
157	96.292	91.39	91.39
158	96.224	91.21	91.39
159	96.344	91.09	91.39
160	96.404	91.35	91.39
161	96.412	91.13	91.39
162	96.406	91.33	91.39
163	96.556	91.24	91.39
164	96.662	91.23	91.39
165	96.472	91.19	91.39
166	96.508	91.22	91.39
167	96.622	91.23	91.39
168	96.612	91.14	91.39
169	96.726	91.09	91.39
170	96.758	91.27	91.39
171	96.69	91.17	91.39
172	96.82	91.06	91.39
173	96.944	91.13	91.39
174	96.764	91.03	91.39
175	96.772	91.23	91.39
176	96.764	91.15	91.39
177	96.838	91.13	91.39
178	96.912	91.24	91.39
179	96.922	91.13	91.39
180	96.978	91.05	91.39
181	96.932	91.26	91.39
182	96.968	91.07	91.39
183	97.058	91.12	91.39
184	96.938	91.1	91.39
185	97.066	91.0	91.39
186	97.098	91.09	91.39
187	96.964	91.12	91.39
188	96.974	90.97	91.39
189	97.126	91.21	91.39
190	97.194	91.32	91.39
191	97.174	91.09	91.39
192	97.194	91.06	91.39
193	97.046	91.14	91.39
194	97.126	91.12	91.39
195	97.116	90.96	91.39
196	97.298	90.97	91.39
197	97.09	91.18	91.39
198	97.204	91.0	91.39
199	97.304	91.13	91.39
200	97.3	91.08	91.39
