epoch	acc1_train	acc1_valid	best_acc1
1	40.376	49.2	0.0
2	60.98	61.26	0.0
3	68.464	63.9	0.0
4	73.134	66.41	0.0
5	76.132	66.33	0.0
6	76.662	70.0	0.0
7	78.2	72.87	0.0
8	78.948	69.19	0.0
9	79.922	76.86	0.0
10	80.202	72.25	0.0
11	80.976	72.29	0.0
12	81.3	72.61	0.0
13	81.8	77.06	0.0
14	82.066	73.63	0.0
15	82.01	68.03	0.0
16	82.548	77.67	0.0
17	82.546	77.05	0.0
18	82.618	80.04	0.0
19	83.072	76.92	0.0
20	83.208	72.17	0.0
21	83.06	76.78	0.0
22	83.514	82.06	0.0
23	83.758	78.6	0.0
24	83.536	80.89	0.0
25	83.886	77.86	0.0
26	84.062	78.29	0.0
27	84.332	77.61	0.0
28	84.52	80.72	0.0
29	84.088	77.09	0.0
30	84.396	80.46	0.0
31	84.792	79.69	0.0
32	84.582	79.48	0.0
33	84.482	78.52	0.0
34	84.902	78.71	0.0
35	84.664	76.28	0.0
36	84.948	76.41	0.0
37	84.856	78.23	0.0
38	84.912	78.84	0.0
39	84.944	82.58	0.0
40	84.942	80.94	0.0
41	85.098	82.22	0.0
42	85.078	80.39	0.0
43	85.1	80.5	0.0
44	85.186	82.0	0.0
45	85.158	77.72	0.0
46	85.158	73.29	0.0
47	85.188	76.14	0.0
48	85.038	80.56	0.0
49	85.146	79.36	0.0
50	85.072	79.21	0.0
51	85.196	75.42	0.0
52	85.316	77.24	0.0
53	84.942	77.28	0.0
54	84.988	78.2	0.0
55	85.012	78.08	0.0
56	85.136	76.18	0.0
57	84.93	80.02	0.0
58	84.956	82.01	0.0
59	85.198	79.82	0.0
60	84.886	77.59	0.0
61	84.832	75.23	0.0
62	84.872	81.79	0.0
63	85.168	79.54	0.0
64	85.2	79.67	0.0
65	85.062	78.75	0.0
66	85.122	77.86	0.0
67	84.802	79.97	0.0
68	84.836	75.02	0.0
69	85.074	77.54	0.0
70	85.124	74.13	0.0
71	85.11	75.35	0.0
72	84.8	79.91	0.0
73	84.84	82.36	0.0
74	85.06	65.66	0.0
75	84.982	79.45	0.0
76	85.084	80.89	80.89
77	84.918	77.72	80.89
78	84.812	74.31	80.89
79	84.796	77.48	80.89
80	84.714	82.59	82.59
81	84.816	74.92	82.59
82	84.77	79.36	82.59
83	84.828	77.25	82.59
84	84.98	78.13	82.59
85	85.054	76.73	82.59
86	85.11	79.73	82.59
87	84.822	80.59	82.59
88	84.958	75.4	82.59
89	85.19	77.76	82.59
90	84.802	77.56	82.59
91	85.044	75.35	82.59
92	84.976	78.33	82.59
93	85.026	76.59	82.59
94	84.918	73.02	82.59
95	84.708	75.81	82.59
96	85.28	71.44	82.59
97	84.748	80.66	82.59
98	84.73	75.82	82.59
99	84.98	75.53	82.59
100	85.198	79.85	82.59
101	88.762	88.23	88.23
102	89.958	88.38	88.38
103	90.368	88.68	88.68
104	90.586	88.21	88.68
105	90.654	88.78	88.78
106	90.832	88.65	88.78
107	90.986	88.57	88.78
108	91.04	88.38	88.78
109	91.162	88.65	88.78
110	91.1	88.59	88.78
111	91.206	88.75	88.78
112	91.352	88.9	88.9
113	91.304	88.14	88.9
114	91.406	88.49	88.9
115	91.176	88.09	88.9
116	91.486	87.94	88.9
117	91.192	88.68	88.9
118	91.266	88.2	88.9
119	91.204	88.16	88.9
120	91.336	88.0	88.9
121	91.132	88.36	88.9
122	91.324	88.62	88.9
123	91.28	87.62	88.9
124	91.354	88.32	88.9
125	91.038	87.98	88.9
126	91.336	88.35	88.9
127	91.084	87.66	88.9
128	91.144	87.34	88.9
129	91.1	87.99	88.9
130	91.166	87.51	88.9
131	91.094	88.07	88.9
132	91.22	87.63	88.9
133	90.952	87.92	88.9
134	90.746	87.55	88.9
135	90.948	87.45	88.9
136	90.938	87.81	88.9
137	90.912	86.46	88.9
138	90.834	88.07	88.9
139	90.99	86.89	88.9
140	90.776	87.43	88.9
141	90.764	86.56	88.9
142	90.916	87.56	88.9
143	90.86	87.88	88.9
144	90.958	86.37	88.9
145	90.604	87.4	88.9
146	90.86	87.73	88.9
147	90.99	87.66	88.9
148	90.818	87.03	88.9
149	90.628	88.3	88.9
150	90.928	87.69	88.9
151	91.986	89.26	89.26
152	92.59	89.43	89.43
153	92.582	89.48	89.48
154	92.746	89.55	89.55
155	92.8	89.39	89.55
156	92.866	89.59	89.59
157	92.788	89.6	89.6
158	92.8	89.55	89.6
159	92.808	89.6	89.6
160	92.94	89.31	89.6
161	92.938	89.56	89.6
162	92.938	89.42	89.6
163	92.97	89.49	89.6
164	93.094	89.64	89.64
165	92.996	89.36	89.64
166	93.256	89.51	89.64
167	92.982	89.57	89.64
168	93.03	89.33	89.64
169	93.036	89.57	89.64
170	93.192	89.44	89.64
171	93.076	89.41	89.64
172	93.198	89.33	89.64
173	93.23	89.51	89.64
174	93.1	89.43	89.64
175	93.198	89.55	89.64
176	93.266	89.45	89.64
177	93.264	89.52	89.64
178	93.162	89.37	89.64
179	93.218	89.22	89.64
180	93.424	89.53	89.64
181	93.088	89.55	89.64
182	93.318	89.55	89.64
183	93.38	89.33	89.64
184	93.22	89.39	89.64
185	93.32	89.82	89.82
186	93.354	89.65	89.82
187	93.31	89.47	89.82
188	93.246	89.44	89.82
189	93.314	89.41	89.82
190	93.31	89.58	89.82
191	93.226	89.63	89.82
192	93.304	89.55	89.82
193	93.248	89.44	89.82
194	93.442	89.51	89.82
195	93.412	89.47	89.82
196	93.37	89.63	89.82
197	93.338	89.55	89.82
198	93.458	89.46	89.82
199	93.32	89.4	89.82
200	93.224	89.44	89.82
