experiment,method,sparsity,dataset,arch,layers,epochs,lr,best_acc1,best_loss,final_acc1,final_acc5,final_loss,total_training_time_hours,val_best_acc1,val_final_acc1,val_final_loss
dense_cifar10_resnet,static,0.5,cifar10,resnet,20,200,0.1,92.23999786376953,0.2537065239667892,92.12999725341797,99.75,0.2865503731250763,0.591361833082305,92.23999786376953,92.12999725341797,0.2865503731250763
static_sparsity_0.5_cifar10_resnet,static,0.5,cifar10,resnet,20,200,0.1,91.93000030517578,0.2574919036388397,91.37999725341797,99.72999572753906,0.28800389666557313,0.7065359808339013,91.93000030517578,91.37999725341797,0.28800389666557313
static_sparsity_0.7_cifar10_resnet,static,0.7,cifar10,resnet,20,200,0.1,90.87999725341797,0.28662474188804626,90.72999572753906,99.66999816894531,0.3088198112010956,0.7037769440809886,90.87999725341797,90.72999572753906,0.3088198112010956
static_sparsity_0.8_cifar10_resnet,static,0.8,cifar10,resnet,20,200,0.1,89.91999816894531,0.30719003314971927,89.45999908447266,99.65999603271484,0.32217713832855227,0.6994419600566228,89.91999816894531,89.45999908447266,0.32217713832855227
static_sparsity_0.9_cifar10_resnet,static,0.9,cifar10,resnet,20,200,0.1,88.13999938964844,0.35991010532379153,87.83999633789062,99.68999481201172,0.362111746263504,0.6963292640447617,88.13999938964844,87.83999633789062,0.362111746263504
static_sparsity_0.95_cifar10_resnet,static,0.95,cifar10,resnet,20,200,0.1,84.79000091552734,0.45472686643600463,84.4000015258789,99.36000061035156,0.4640596316337585,0.7021288359165192,84.79000091552734,84.4000015258789,0.4640596316337585
dpf_sparsity_0.5_freeze180_cifar10_resnet,dpf,0.5,cifar10,resnet,20,200,0.1,92.5199966430664,0.24617383613586427,92.3499984741211,99.75999450683594,0.26985129528045654,0.6597236681646771,92.5199966430664,92.3499984741211,0.26985129528045654
dpf_sparsity_0.7_freeze180_cifar10_resnet,dpf,0.7,cifar10,resnet,20,200,0.1,92.20999908447266,0.247798970413208,92.04999542236328,99.72999572753906,0.2654841634988785,0.6548249706294802,92.20999908447266,92.04999542236328,0.2654841634988785
dpf_sparsity_0.8_freeze180_cifar10_resnet,dpf,0.8,cifar10,resnet,20,200,0.1,91.63999938964844,0.2601864727973938,91.47000122070312,99.8499984741211,0.27080840973854065,0.65883349498113,91.63999938964844,91.47000122070312,0.27080840973854065
dpf_sparsity_0.9_freeze180_cifar10_resnet,dpf,0.9,cifar10,resnet,20,200,0.1,90.57999420166016,0.2806184527397156,90.41999816894531,99.75,0.2812075925350189,0.6579030012422138,90.57999420166016,90.41999816894531,0.2812075925350189
dpf_sparsity_0.95_freeze180_cifar10_resnet,dpf,0.95,cifar10,resnet,20,200,0.1,88.16999816894531,0.35195084714889524,88.13999938964844,99.5,0.35195084714889524,0.6551526538530985,88.16999816894531,88.13999938964844,0.35195084714889524
