experiment,method,sparsity,dataset,arch,layers,epochs,lr,best_acc1,best_loss,final_acc1,final_acc5,final_loss,total_training_time_hours,val_best_acc1,val_final_acc1,val_final_loss
dwa_reactivate_only_sparsity_0.5_cifar10_resnet,dpf,0.5,cifar10,resnet,20,200,0.1,92.43999481201172,0.259201779460907,92.2699966430664,99.77999877929688,0.28324257941246034,0.606797858675321,92.43999481201172,92.2699966430664,0.28324257941246034
dwa_reactivate_only_sparsity_0.7_cifar10_resnet,dpf,0.7,cifar10,resnet,20,200,0.1,91.80999755859375,0.2701609361886978,91.47999572753906,99.73999786376953,0.30234099950790405,0.665377647280693,91.80999755859375,91.47999572753906,0.30234099950790405
dwa_reactivate_only_sparsity_0.8_cifar10_resnet,dpf,0.8,cifar10,resnet,20,200,0.1,91.8699951171875,0.26446203775405885,91.43999481201172,99.75,0.28628506050109864,0.6732314049535327,91.8699951171875,91.43999481201172,0.28628506050109864
dwa_reactivate_only_sparsity_0.9_cifar10_resnet,dpf,0.9,cifar10,resnet,20,200,0.1,91.06999969482422,0.2756350838661194,90.94999694824219,99.7699966430664,0.2869896031856537,0.5964324735270606,91.06999969482422,90.94999694824219,0.2869896031856537
dwa_reactivate_only_sparsity_0.95_cifar10_resnet,dpf,0.95,cifar10,resnet,20,200,0.1,89.8699951171875,0.31211063351631163,89.48999786376953,99.68999481201172,0.31541917643547057,0.5897180653280683,89.8699951171875,89.48999786376953,0.31541917643547057
dwa_kill_active_plain_dead_sparsity_0.5_cifar10_resnet,dpf,0.5,cifar10,resnet,20,200,0.1,92.1199951171875,0.2552029843568802,91.72000122070312,99.73999786376953,0.27728324325084686,0.6304713109466764,92.1199951171875,91.72000122070312,0.27728324325084686
dwa_kill_active_plain_dead_sparsity_0.7_cifar10_resnet,dpf,0.7,cifar10,resnet,20,200,0.1,91.97999572753906,0.26131414003372194,91.6199951171875,99.72999572753906,0.2849195993423462,0.627442161904441,91.97999572753906,91.6199951171875,0.2849195993423462
dwa_kill_active_plain_dead_sparsity_0.8_cifar10_resnet,dpf,0.8,cifar10,resnet,20,200,0.1,91.57999420166016,0.26887441272735596,91.36000061035156,99.79000091552734,0.28853221549987795,0.6694803253809611,91.57999420166016,91.36000061035156,0.28853221549987795
dwa_kill_active_plain_dead_sparsity_0.9_cifar10_resnet,dpf,0.9,cifar10,resnet,20,200,0.1,91.16999816894531,0.2749355665445328,91.06999969482422,99.77999877929688,0.2910371455669403,0.6487156137492922,91.16999816894531,91.06999969482422,0.2910371455669403
dwa_kill_active_plain_dead_sparsity_0.95_cifar10_resnet,dpf,0.95,cifar10,resnet,20,200,0.1,89.94999694824219,0.30334539406299593,89.83999633789062,99.72999572753906,0.3069269268989563,0.6866365387042364,89.94999694824219,89.83999633789062,0.3069269268989563
dwa_kill_and_reactivate_sparsity_0.5_cifar10_resnet,dpf,0.5,cifar10,resnet,20,200,0.1,92.27999877929688,0.2509377312898636,92.06999969482422,99.79999542236328,0.2849453167438507,0.667557243042522,92.27999877929688,92.06999969482422,0.2849453167438507
dwa_kill_and_reactivate_sparsity_0.7_cifar10_resnet,dpf,0.7,cifar10,resnet,20,200,0.1,92.19999694824219,0.25637667717933654,91.93999481201172,99.79000091552734,0.2846383180618286,0.639584579401546,92.19999694824219,91.93999481201172,0.2846383180618286
dwa_kill_and_reactivate_sparsity_0.8_cifar10_resnet,dpf,0.8,cifar10,resnet,20,200,0.1,91.72999572753906,0.2689311338663101,91.38999938964844,99.69999694824219,0.28551141920089723,0.6125576173596912,91.72999572753906,91.38999938964844,0.28551141920089723
dwa_kill_and_reactivate_sparsity_0.9_cifar10_resnet,dpf,0.9,cifar10,resnet,20,200,0.1,91.08999633789062,0.2811847768306732,90.72999572753906,99.73999786376953,0.2942059546470642,0.6116705858707427,91.08999633789062,90.72999572753906,0.2942059546470642
dwa_kill_and_reactivate_sparsity_0.95_cifar10_resnet,dpf,0.95,cifar10,resnet,20,200,0.1,89.8699951171875,0.30399691162109377,89.66999816894531,99.72999572753906,0.30713708062171935,0.616314153737492,89.8699951171875,89.66999816894531,0.30713708062171935
